Sno,Ok,SOP,Message,Msg Id,Data Role,Power Role,Obj Count,Rev,Duration,Delta,Vbus(V),Data,Start Time,End Time
112,OK,SOP,EXTENDED_CONTROL_MSG,7,UFP,SNK,1,v3,646,454865,20825,0x9E90 0x8002 0x03 0x00,16470528,16471174
113,OK,SOP,GOODCRC,7,DFP,SRC,0,v3,511,107,20789,0xFA1,16471281,16471792
114,OK,SOP,EXTENDED_CONTROL_MSG,0,DFP,SRC,1,v3,647,1787,20825,0x91B0 0x8002 0x04 0x00,16473579,16474226
115,OK,SOP,GOODCRC,0,UFP,SNK,0,v3,510,82,20789,0x81,16474308,16474818
116,OK,SOP,EXTENDED_CONTROL_MSG,0,UFP,SNK,1,v3,645,454185,20813,0x9090 0x8002 0x03 0x00,16929003,16929648
117,OK,SOP,GOODCRC,0,DFP,SRC,0,v3,512,99,20789,0x1A1,16929747,16930259
118,OK,SOP,EXTENDED_CONTROL_MSG,1,DFP,SRC,1,v3,647,1695,20813,0x93B0 0x8002 0x04 0x00,16931954,16932601
119,OK,SOP,GOODCRC,1,UFP,SNK,0,v3,510,82,20789,0x281,16932683,16933193
120,OK,SOP,EXTENDED_CONTROL_MSG,1,UFP,SNK,1,v3,645,454277,20813,0x9290 0x8002 0x03 0x00,17387470,17388115
121,OK,SOP,GOODCRC,1,DFP,SRC,0,v3,512,97,20789,0x3A1,17388212,17388724
122,OK,SOP,EXTENDED_CONTROL_MSG,2,DFP,SRC,1,v3,647,1570,20801,0x95B0 0x8002 0x04 0x00,17390294,17390941
123,OK,SOP,GOODCRC,2,UFP,SNK,0,v3,510,81,20777,0x481,17391022,17391532
124,OK,SOP,EXTENDED_CONTROL_MSG,2,UFP,SNK,1,v3,645,454381,20825,0x9490 0x8002 0x03 0x00,17845913,17846558
125,OK,SOP,GOODCRC,2,DFP,SRC,0,v3,512,98,20801,0x5A1,17846656,17847168
126,OK,SOP,EXTENDED_CONTROL_MSG,3,DFP,SRC,1,v3,648,1674,20825,0x97B0 0x8002 0x04 0x00,17848842,17849490
127,OK,SOP,GOODCRC,3,UFP,SNK,0,v3,511,81,20801,0x681,17849571,17850082
128,OK,SOP,EXTENDED_CONTROL_MSG,3,UFP,SNK,1,v3,646,454301,20825,0x9690 0x8002 0x03 0x00,18304383,18305029
129,OK,SOP,GOODCRC,3,DFP,SRC,0,v3,512,98,20801,0x7A1,18305127,18305639
