Sno,Ok,SOP,Message,Msg Id,Data Role,Power Role,Obj Count,Rev,Duration,Delta,Vbus(V),Data,Start Time,End Time
46,OK,SOP,EPR_SOURCE_CAPABILITIES,7,UFP,SNK,1,v3,646,4732,5087,0x9E91 0x8C00 0x00 0x00,9288562,9289208
47,OK,SOP,GOODCRC,7,DFP,SRC,0,v3,512,98,5075,0xFA1,9289306,9289818
48,OK,SOP,EPR_SOURCE_CAPABILITIES,7,DFP,SRC,5,v3,1189,3954,5087,0xDFB1 0x882C 0x00 0x00 0xF4 0xC1 0x08 0x00 0xF4 0x41 0x0B 0x00 0xF4 0x01 0x0F 0x00 0xF0 0x96 0xC0 0xD3,9293772,9294961
49,OK,SOP,GOODCRC,7,UFP,SNK,0,v3,510,82,5063,0xE81,9295043,9295553
50,OK,SOP,EPR_REQUEST,0,UFP,SNK,2,v3,780,5998,5087,0x2089 0xB046900A 0xD3C096F0,9301551,9302331
51,OK,SOP,GOODCRC,0,DFP,SRC,0,v3,512,99,5063,0x1A1,9302430,9302942
52,OK,SOP,ACCEPT,0,DFP,SRC,0,v3,513,2890,5087,0x1A3,9305832,9306345
53,OK,SOP,GOODCRC,0,UFP,SNK,0,v3,510,81,5063,0x81,9306426,9306936
54,OK,SOP,PS_RDY,1,DFP,SRC,0,v3,512,311402,20267,0x3A6,9618338,9618850
55,OK,SOP,GOODCRC,1,UFP,SNK,0,v3,511,82,20255,0x281,9618932,9619443
56,OK,SOP,EXTENDED_CONTROL_MSG,1,UFP,SNK,1,v3,645,404506,20801,0x9290 0x8002 0x03 0x00,10023949,10024594
57,OK,SOP,GOODCRC,1,DFP,SRC,0,v3,511,99,20777,0x3A1,10024693,10025204
58,OK,SOP,EXTENDED_CONTROL_MSG,2,DFP,SRC,1,v3,648,1581,20777,0x95B0 0x8002 0x04 0x00,10026785,10027433
59,OK,SOP,GOODCRC,2,UFP,SNK,0,v3,511,81,20765,0x481,10027514,10028025
60,OK,SOP,EXTENDED_CONTROL_MSG,2,UFP,SNK,1,v3,645,454291,20789,0x9490 0x8002 0x03 0x00,10482316,10482961
61,OK,SOP,GOODCRC,2,DFP,SRC,0,v3,512,99,20765,0x5A1,10483060,10483572
62,OK,SOP,EXTENDED_CONTROL_MSG,3,DFP,SRC,1,v3,647,1591,20789,0x97B0 0x8002 0x04 0x00,10485163,10485810
63,OK,SOP,GOODCRC,3,UFP,SNK,0,v3,510,82,20765,0x681,10485892,10486402
64,OK,SOP,EXTENDED_CONTROL_MSG,3,UFP,SNK,1,v3,645,454282,20801,0x9690 0x8002 0x03 0x00,10940684,10941329
65,OK,SOP,GOODCRC,3,DFP,SRC,0,v3,513,98,20777,0x7A1,10941427,10941940
66,OK,SOP,EXTENDED_CONTROL_MSG,4,DFP,SRC,1,v3,648,1597,20789,0x99B0 0x8002 0x04 0x00,10943537,10944185
67,OK,SOP,GOODCRC,4,UFP,SNK,0,v3,511,81,20777,0x881,10944266,10944777
68,OK,SOP,EXTENDED_CONTROL_MSG,4,UFP,SNK,1,v3,645,454262,20789,0x9890 0x8002 0x03 0x00,11399039,11399684
69,OK,SOP,GOODCRC,4,DFP,SRC,0,v3,512,97,20777,0x9A1,11399781,11400293
70,OK,SOP,EXTENDED_CONTROL_MSG,5,DFP,SRC,1,v3,648,1513,20789,0x9BB0 0x8002 0x04 0x00,11401806,11402454
